Player Id,Name,Current Status,Years Played
genardavery/2560964,"Avery, Genard",Active,
chidobeawuzie/2557840,"Awuzie, Chidobe",Active,
alexbachman/2563301,"Bachman, Alex",Active,
johnsonbademosi/2535693,"Bademosi, Johnson",Active,
jeffbadet/2560038,"Badet, Jeff",Active,
mikebadgley/2560965,"Badgley, Mike",Active,
allenbailey/2495116,"Bailey, Allen",Active,
danbailey/2495259,"Bailey, Dan",Active,
jakebailey/2562226,"Bailey, Jake",Active,
quinnbailey/2563034,"Bailey, Quinn",Active,
sterlingbailey/2556385,"Bailey, Sterling",Active,
zackbailey/2562623,"Bailey, Zack",Active,
derrickbaity/2562444,"Baity, Derrick",Active,
buddabaker/2558009,"Baker, Budda",Active,
deandrebaker/2562227,"Baker, Deandre",Active,
dorianbaker/2562924,"Baker, Dorian",Active,
jeromebaker/2560966,"Baker, Jerome",Active,
davidbakhtiari/2540183,"Bakhtiari, David",Active,
parkerbaldwin/2563171,"Baldwin, Parker",Active,
kalenballage/2560967,"Ballage, Kalen",Active,
corrionballard/2562933,"Ballard, Corrion",Active,
coreyballentine/2562228,"Ballentine, Corey",Active,
shawnbane/2563172,"Bane, Shawn",Active,
darylebanfield/2563070,"Banfield, Daryle",Active,
chrisbanjo/2541192,"Banjo, Chris",Active,
zachbanner/2557908,"Banner, Zach",Active,
benbanogu/2562229,"Banogu, Ben",Active,
peytonbarber/2556466,"Barber, Peyton",Active,
donbarclay/2534827,"Barclay, Don",Active,
mattbarkley/2539308,"Barkley, Matt",Active,
saquonbarkley/2560968,"Barkley, Saquon",Active,
austinbarnard/2561297,"Barnard, Austin",Active,
kenjonbarner/2539289,"Barner, Kenjon",Active,
alexbarnes/2562426,"Barnes, Alex",Active,
brandonbarnes/2559137,"Barnes, Brandon",Active,
derekbarnett/2557984,"Barnett, Derek",Active,
anthonybarr/2543459,"Barr, Anthony",Active,
alexbarrett/2559140,"Barrett, Alex",Active,
j.t.barrett/2560969,"Barrett, J.T.",Active,
shaquilbarrett/2550541,"Barrett, Shaquil",Active,
markbarron/2532789,"Barron, Mark",Active,
alexbars/2562230,"Bars, Alex",Active,
codybarton/2562472,"Barton, Cody",Active,
jacksonbarton/2562624,"Barton, Jackson",Active,
tarellbasham/2558165,"Basham, Tarell",Active,
darenbates/2541539,"Bates, Daren",Active,
jessiebates/2560970,"Bates, Jessie",Active,
ryanbates/2563364,"Bates, Ryan",Active,
cameronbatson/2561521,"Batson, Cameron",Injured reserve,
johnbattle/2562625,"Battle, John",Active,
marcusbaugh/2560971,"Baugh, Marcus",Active,
devantebausby/2553790,"Bausby, DeVante",Active,
nickbawden/2560972,"Bawden, Nick",Active,
evanbaylis/2559299,"Baylis, Evan",Active,
kelvinbeachum/2533442,"Beachum, Kelvin",Active,
sambeal/2561643,"Beal, Sam",Active,
colebeasley/2535698,"Beasley, Cole",Active,
vicbeasley/2552301,"Beasley, Vic",Active,
c.j.beathard/2557922,"Beathard, C.J.",Active,
williebeavers/2555208,"Beavers, Willie",Active,
andrewbeck/2562626,"Beck, Andrew",Active,
natebecker/2563191,"Becker, Nate",Active,
odellbeckham/2543496,"Beckham, Odell",Active,
terrybeckner/2562433,"Beckner, Terry",Active,
kendellbeckwith/2557847,"Beckwith, Kendell",Reserved Non-Injured,
ryanbee/2563031,"Bee, Ryan",Active,
chadbeebe/2561482,"Beebe, Chad",Active,
abdulbeecham/2563336,"Beecham, Abdul",Active,
drewbelcher/2563014,"Belcher, Drew",Active,
blakebell/2552478,"Bell, Blake",Active,
le'veonbell/2540175,"Bell, Le'Veon",Active,
quintonbell/2562908,"Bell, Quinton",Active,
vonnbell/2555530,"Bell, Vonn",Active,
davinbellamy/2560973,"Bellamy, Davin",Active,
joshbellamy/2535964,"Bellamy, Josh",Active,
b.j.bello/2559141,"Bello, B.J.",Active,
nickbellore/2495262,"Bellore, Nick",Active,
calebbenenoch/2555488,"Benenoch, Caleb",Active,
travisbenjamin/2532790,"Benjamin, Travis",Active,
kurtbenkert/2560974,"Benkert, Kurt",Injured reserve,
michaelbennett/2552733,"Bennett, Michael",Injured reserve,
michaelbennett/2507617,"Bennett, Michael",Active,
trinitybenson/2563035,"Benson, Trinity",Active,
ja'whaunbentley/2561143,"Bentley, Ja'Whaun",Active,
bene'benwikere/2543855,"Benwikere, Bene'",Active,
beaubenzschawel/2562628,"Benzschawel, Beau",Active,
tonybergstrom/2533010,"Bergstrom, Tony",Active,
giovanibernard/2540156,"Bernard, Giovani",Active,
braxtonberrios/2560975,"Berrios, Braxton",Active,
jordanberry/2553348,"Berry, Jordan",Active,
ianberryman/2562963,"Berryman, Ian",Active,
taylorbertolet/2556472,"Bertolet, Taylor",Active,
antoinebethea/2495807,"Bethea, Antoine",Active,
justinbethel/2532792,"Bethel, Justin",Active,
yurikbethune/2563173,"Bethune, Yurik",Active,
mattbetts/2563071,"Betts, Matt",Active,
vincebiegel/2557906,"Biegel, Vince",Active,
