Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Punts,Gross Punting Yards,Net Punting Yards,Longest Punt,Gross Punting Average,Net Punting Average,Punts Blocked,Out of Bounds Punts,Downed Punts,Punts Inside 20 Yard Line,Touchbacks,Fair Catches,Punts Returned,Yards Returned on Punts,TDs Returned on Punt
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,2,09/17,Home,MIN,W,26 to 9,1,0,5,193,181,46,38.6,36.2,0,1,1,2,0,2,1,12,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,3,09/24,Away,CHI,L,17 to 23,1,0,5,203,183,46,40.6,36.6,0,0,0,3,1,3,1,0,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,4,10/01,Away,BAL,W,26 to 9,1,0,4,150,150,48,37.5,37.5,0,1,1,1,0,1,1,0,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,5,10/08,Home,JAX,L,9 to 30,1,0,3,134,134,54,44.7,44.7,0,1,1,2,0,1,0,0,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,6,10/15,Away,KC,W,19 to 13,1,0,5,207,148,62,41.4,29.6,0,1,0,2,1,0,3,39,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,7,10/22,Home,CIN,W,29 to 14,1,0,2,90,71,51,45.0,35.5,0,0,0,0,0,1,1,19,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,8,10/29,Away,DET,W,20 to 15,1,0,4,188,167,53,47.0,41.8,0,0,0,2,0,2,2,21,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,10,11/12,Away,IND,W,20 to 17,1,0,6,297,280,58,49.5,46.7,0,0,1,3,0,1,4,17,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,11,11/16,Home,TEN,W,40 to 17,1,0,3,152,142,59,50.7,47.3,0,1,1,1,0,0,1,10,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,12,11/26,Home,GB,W,31 to 28,1,0,3,97,97,36,32.3,32.3,0,0,1,3,0,2,0,0,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,13,12/04,Away,CIN,W,23 to 20,1,0,4,178,169,58,44.5,42.3,0,1,0,3,0,1,2,9,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,14,12/10,Home,BAL,W,39 to 38,1,0,3,141,141,48,47.0,47.0,0,0,0,0,0,2,1,0,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,15,12/17,Home,NE,L,24 to 27,1,0,4,171,160,60,42.8,40.0,0,1,0,1,0,2,1,11,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,16,12/25,Away,HOU,W,34 to 6,1,0,3,143,136,57,47.7,45.3,0,0,0,1,0,2,1,7,0
jordanberry/2553348,"Berry, Jordan",P,2017,Regular Season,17,12/31,Home,CLE,W,28 to 24,1,0,4,144,146,46,36.0,36.5,0,0,0,2,0,3,1,-2,0
jordanberry/2553348,"Berry, Jordan",P,2017,Postseason,19,01/14,Home,JAX,L,42 to 45,1,0,2,79,59,40,39.5,29.5,0,0,1,0,1,0,0,0,0
jordanberry/2553348,"Berry, Jordan",P,2016,Preseason,1,08/12,Home,DET,L,17 to 30,1,0,3,179,169,61,59.7,56.3,0,0,0,0,0,0,3,10,0
jordanberry/2553348,"Berry, Jordan",P,2016,Preseason,2,08/18,Home,PHI,L,0 to 17,1,0,2,102,101,51,51.0,50.5,0,0,0,1,0,1,1,1,0
jordanberry/2553348,"Berry, Jordan",P,2016,Preseason,3,08/26,Away,NO,W,27 to 14,1,0,1,55,55,55,55.0,55.0,0,1,0,1,0,0,0,0,0
jordanberry/2553348,"Berry, Jordan",P,2016,Preseason,4,09/01,Away,CAR,L,6 to 18,1,0,7,322,263,54,46.0,37.6,0,1,1,2,0,1,4,59,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,1,09/12,Away,WAS,W,38 to 16,1,0,2,107,90,61,53.5,45.0,0,0,0,0,0,1,1,17,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,2,09/18,Home,CIN,W,24 to 16,1,0,8,377,338,58,47.1,42.3,0,1,0,5,1,3,3,19,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,3,09/25,Away,PHI,L,3 to 34,1,0,3,165,149,63,55.0,49.7,0,0,1,1,0,0,2,16,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,4,10/02,Home,KC,W,43 to 14,1,0,5,211,191,52,42.2,38.2,0,3,0,1,0,0,2,20,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,5,10/09,Home,NYJ,W,31 to 13,1,0,3,139,139,52,46.3,46.3,0,0,1,3,0,2,0,0,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,6,10/16,Away,MIA,L,15 to 30,1,0,5,180,154,49,36.0,30.8,0,0,2,2,0,1,2,26,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,7,10/23,Home,NE,L,16 to 27,1,0,4,195,167,55,48.8,41.8,0,1,0,1,0,0,3,28,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,9,11/06,Away,BAL,L,14 to 21,1,0,9,431,416,61,47.9,41.6,1,1,3,2,0,2,3,15,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,10,11/13,Home,DAL,L,30 to 35,1,0,4,174,130,57,43.5,32.5,0,1,0,2,0,1,2,44,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,11,11/20,Away,CLE,W,24 to 9,1,0,3,150,118,57,50.0,39.3,0,0,0,0,0,0,3,32,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,12,11/24,Away,IND,W,28 to 7,1,0,4,177,157,54,44.3,39.3,0,0,0,1,1,3,0,0,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,13,12/04,Home,NYG,W,24 to 14,1,0,4,148,147,44,37.0,36.8,0,2,0,2,0,1,1,1,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,14,12/11,Away,BUF,W,27 to 20,1,0,2,101,81,56,50.5,40.5,0,0,0,1,1,0,1,0,0
jordanberry/2553348,"Berry, Jordan",P,2016,Regular Season,15,12/18,Away,CIN,W,24 to 20,1,0,1,40,40,40,40.0,40.0,0,1,0,1,0,0,0,0,0
